# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	36547
#@/user_id	a2539fd9-2f40-4b0c-9b41-1f929aaf0d62
bu shu 	不熟	c=1 d=5.5853e-31 t=36547
bu shu 	部署	c=21 d=1.39209 t=36547
bu shu hao le 	部署好了	c=1 d=2.47319e-06 t=36547
bu shu ju 	補數據	c=1 d=0.99005 t=36547
bu shu yu 	不屬於	c=1 d=8.24096e-19 t=36547
bu shuang 	不爽	c=1 d=0.0330412 t=36547
bu shun yan 	不順眼	c=0 d=2.98451e-12 t=36547
bu shuo 	不說	c=1 d=1.2292e-16 t=36547
bu si 	不死	c=1 d=3.22244e-31 t=36547
bu sou suo 	不搜索	c=1 d=5.2837e-25 t=36547
bu suan 	不算	c=4 d=0.959761 t=36547
bu suan sha 	不算啥	c=1 d=1.39504e-05 t=36547
bu suan shi 	不算是	c=1 d=2.85416e-15 t=36547
bu tai 	不太	c=6 d=0.722527 t=36547
bu tai dong 	不太懂	c=1 d=1.53407e-05 t=36547
bu tai dui 	不太對	c=2 d=2.36477e-08 t=36547
bu tai duo 	不太多	c=1 d=3.66232e-07 t=36547
bu tai hao 	不太好	c=1 d=4.91063e-17 t=36547
bu tai hao le 	不太好了	c=1 d=4.93504e-16 t=36547
bu tai hui 	不太會	c=2 d=0.000273284 t=36547
bu tai neng 	不太能	c=1 d=5.01832e-07 t=36547
bu tai qing chu 	不太清楚	c=1 d=6.42702e-06 t=36547
bu tai xiang 	不太想	c=1 d=2.88981e-14 t=36547
bu tai xing 	不太行	c=13 d=0.755784 t=36547
bu teng 	不疼	c=1 d=1.48076e-30 t=36547
bu ti jiao 	不提交	c=1 d=1.20839e-21 t=36547
bu tong 	不同	c=14 d=0.0472663 t=36547
bu tong 	不通	c=1 d=8.14482e-28 t=36547
bu wan 	不玩	c=0 d=1.08813e-24 t=36547
bu wan quan shi 	不完全是	c=1 d=0.00200924 t=36547
bu wang shang 	不往上	c=1 d=2.28382e-10 t=36547
bu wei gui 	不違規	c=1 d=0.000127168 t=36547
bu wen 	不穩	c=1 d=1.41271e-06 t=36547
bu xi guan 	不習慣	c=1 d=4.02112e-18 t=36547
bu xian ding 	不限定	c=1 d=8.65906e-13 t=36547
bu xian shi 	不顯示	c=2 d=6.43249e-16 t=36547
bu xiang 	不像	c=7 d=0.0257325 t=36547
bu xiang 	不想	c=1 d=1.60523e-09 t=36547
bu xiang xin 	不相信	c=1 d=0.00265848 t=36547
bu xin 	不信	c=1 d=0.00657159 t=36547
bu xing 	不行	c=15 d=0.540706 t=36547
bu xu yao 	不需要	c=12 d=0.873716 t=36547
bu yan zheng 	不驗證	c=1 d=1.02263e-28 t=36547
bu yao 	不要	c=14 d=0.682916 t=36547
bu yao ba 	不要吧	c=1 d=1.48793e-28 t=36547
bu yao le 	不要了	c=1 d=5.9677e-16 t=36547
bu yi ding 	不一定	c=3 d=0.00416933 t=36547
bu yi yang 	不一樣	c=23 d=0.211943 t=36547
bu yi zhi 	不一致	c=2 d=0.0120946 t=36547
bu ying gai 	不應該	c=1 d=0.00189223 t=36547
bu ying xiang 	不影響	c=3 d=5.34425e-12 t=36547
bu yong 	不用	c=32 d=0.428471 t=36547
bu yong dai 	不用帶	c=1 d=5.38861e-21 t=36547
bu yong guan 	不用管	c=1 d=4.66936e-12 t=36547
bu yuan 	不遠	c=1 d=1.49849e-23 t=36547
bu yun xu 	不允許	c=1 d=4.73992e-12 t=36547
bu zai 	不再	c=1 d=1.63115e-21 t=36547
bu zai 	不在	c=6 d=0.50409 t=36547
bu zao 	不造	c=3 d=0.873755 t=36547
bu zen me 	不怎麼	c=7 d=4.40003e-06 t=36547
bu zhan shi 	不展示	c=2 d=2.25565e-11 t=36547
bu zhe teng 	不折騰	c=1 d=3.53695e-09 t=36547
bu zheng chang 	不正常	c=1 d=0.0278757 t=36547
bu zheng chang de 	不正常的	c=1 d=2.71265e-05 t=36547
bu zheng que 	不正確	c=1 d=0.612626 t=36547
bu zhi 	不止	c=1 d=0.00597602 t=36547
bu zhi 	不知	c=1 d=8.9167e-05 t=36547
bu zhi chi 	不支持	c=11 d=0.0603871 t=36547
bu zhi dao 	不知道	c=46 d=0.593538 t=36547
bu zhi ding 	不指定	c=2 d=0.0169381 t=36547
bu zhi hao dai 	不知好歹	c=1 d=0.100259 t=36547
bu zhi qian 	不值錢	c=1 d=3.2825e-13 t=36547
bu zhi qing 	不知情	c=1 d=2.40836e-17 t=36547
bu zhong yao 	不重要	c=1 d=1.02406e-15 t=36547
bu zhou 	步驟	c=4 d=0.591555 t=36547
bu zhui zong 	不追蹤	c=3 d=4.7504e-12 t=36547
bu zhun 	不準	c=2 d=5.43628e-07 t=36547
bu zhun que 	不準確	c=1 d=6.66388e-20 t=36547
bu zi 	步子	c=0 d=6.04431e-20 t=36547
bu zi dong 	不自動	c=1 d=5.35626e-09 t=36547
bu zi mai da le 	步子邁大了	c=1 d=6.0746e-19 t=36547
bu zou 	不走	c=3 d=0.134748 t=36547
bu zu 	不足	c=2 d=0.741318 t=36547
ca tu 	擦涂	c=1 d=1.01074e-08 t=36547
cai 	才	c=28 d=0.436168 t=36547
cai 	菜	c=1 d=7.93697e-18 t=36547
cai ce 	猜測	c=2 d=3.29783e-09 t=36547
cai da qi cu 	財大氣粗	c=1 d=5.5222e-15 t=36547
cai fa xian 	才發現	c=5 d=0.180866 t=36547
cai guo 	踩過	c=1 d=3.20364e-21 t=36547
cai hui 	纔會	c=1 d=1.3517e-16 t=36547
cai kai shi 	纔開始	c=1 d=2.92591e-13 t=36547
cai ke yi 	纔可以	c=1 d=0.343009 t=36547
cai neng 	才能	c=11 d=0.936652 t=36547
cai qu 	採取	c=1 d=2.8199e-20 t=36547
cai qu 	纔去	c=1 d=3.21138e-20 t=36547
cai shi 	纔是	c=1 d=2.00992e-07 t=36547
cai xia 	彩霞	c=23 d=0.236592 t=36547
cai xiao 	蔡晓	c=1 d=2.58967e-18 t=36547
cai xing 	才行	c=3 d=0.375311 t=36547
cai you 	纔有	c=3 d=0.00185781 t=36547
cai yu dao 	才遇到	c=1 d=0.000223746 t=36547
cai yun 	彩雲	c=3 d=0.0296931 t=36547
cai yun xiao yi 	彩云小译	c=2 d=3.60238e-11 t=36547
